0 info it worked if it ends with ok
1 verbose cli [ 'node', '/usr/local/bin/npm', 'update', '-g', 'yeoman' ]
2 info using npm@1.1.33
3 info using node@v0.8.1
35 verbose read json /usr/local/lib/node_modules/grunt/node_modules/underscore/package.json
36 verbose read json /usr/local/lib/node_modules/grunt/node_modules/underscore.string/package.json
37 verbose read json /usr/local/lib/node_modules/npm/node_modules/abbrev/package.json
38 verbose read json /usr/local/lib/node_modules/npm/node_modules/ansi/package.json
39 verbose read json /usr/local/lib/node_modules/npm/node_modules/archy/package.json
40 verbose read json /usr/local/lib/node_modules/npm/node_modules/block-stream/package.json
41 verbose read json /usr/local/lib/node_modules/npm/node_modules/chownr/package.json
42 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream/package.json
43 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream-npm/package.json
44 verbose read json /usr/local/lib/node_modules/npm/node_modules/glob/package.json
45 verbose read json /usr/local/lib/node_modules/npm/node_modules/graceful-fs/package.json
46 verbose read json /usr/local/lib/node_modules/npm/node_modules/inherits/package.json
47 verbose read json /usr/local/lib/node_modules/npm/node_modules/ini/package.json
48 verbose read json /usr/local/lib/node_modules/npm/node_modules/init-package-json/package.json
49 verbose read json /usr/local/lib/node_modules/npm/node_modules/lockfile/package.json
50 verbose read json /usr/local/lib/node_modules/npm/node_modules/lru-cache/package.json
51 verbose read json /usr/local/lib/node_modules/npm/node_modules/minimatch/package.json
52 verbose read json /usr/local/lib/node_modules/npm/node_modules/mkdirp/package.json
53 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/package.json
54 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-uuid/package.json
55 verbose read json /usr/local/lib/node_modules/npm/node_modules/nopt/package.json
56 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/package.json
57 verbose read json /usr/local/lib/node_modules/npm/node_modules/npmlog/package.json
58 verbose read json /usr/local/lib/node_modules/npm/node_modules/osenv/package.json
59 verbose read json /usr/local/lib/node_modules/npm/node_modules/proto-list/package.json
60 verbose read json /usr/local/lib/node_modules/npm/node_modules/read/package.json
61 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-installed/package.json
62 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-package-json/package.json
63 verbose read json /usr/local/lib/node_modules/npm/node_modules/request/package.json
64 verbose read json /usr/local/lib/node_modules/npm/node_modules/retry/package.json
65 verbose read json /usr/local/lib/node_modules/npm/node_modules/rimraf/package.json
66 verbose read json /usr/local/lib/node_modules/npm/node_modules/semver/package.json
67 verbose read json /usr/local/lib/node_modules/npm/node_modules/slide/package.json
68 verbose read json /usr/local/lib/node_modules/npm/node_modules/tar/package.json
69 verbose read json /usr/local/lib/node_modules/npm/node_modules/uid-number/package.json
70 verbose read json /usr/local/lib/node_modules/npm/node_modules/which/package.json
71 verbose read json /usr/local/lib/node_modules/jison/node_modules/JSONSelect/package.json
72 verbose read json /usr/local/lib/node_modules/jison/node_modules/nomnom/package.json
73 verbose read json /usr/local/lib/node_modules/jison/node_modules/reflect/package.json
74 verbose lock yeoman@* /Users/david/.npm/fd94f358c896dd18c45f2a5726a164a8676b6980-yeoman-.lock
75 silly addNameRange { name: 'yeoman', range: '', hasData: false }
76 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/async/package.json
77 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/colors/package.json
78 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/package.json
79 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/dateformat/package.json
80 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/package.json
81 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/hooker/package.json
82 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/jshint/package.json
83 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/package.json
84 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nopt/package.json
85 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/package.json
86 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/semver/package.json
87 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/uglify-js/package.json
88 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/underscore/package.json
89 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/underscore.string/package.json
90 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/temporary/package.json
91 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/gzip-js/package.json
92 verbose from cache /usr/local/lib/node_modules/jison/node_modules/JSONSelect/package.json
93 verbose from cache /usr/local/lib/node_modules/jison/node_modules/reflect/package.json
94 verbose from cache /usr/local/lib/node_modules/jison/node_modules/nomnom/package.json
95 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/bytes/package.json
96 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/cookie/package.json
97 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/crc/package.json
98 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/debug/package.json
99 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/formidable/package.json
100 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/fresh/package.json
101 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/pause/package.json
102 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/qs/package.json
103 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/package.json
104 verbose read json /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/node_modules/minimatch/package.json
105 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/.bin/package.json
106 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/package.json
107 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nopt/node_modules/abbrev/package.json
108 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/pkginfo/package.json
109 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/package.json
110 verbose read json /usr/local/lib/node_modules/grunt/node_modules/jshint/node_modules/argsparser/package.json
111 verbose read json /usr/local/lib/node_modules/grunt/node_modules/jshint/node_modules/minimatch/package.json
112 verbose read json /usr/local/lib/node_modules/grunt/node_modules/temporary/node_modules/package/package.json
113 verbose read json /usr/local/lib/node_modules/grunt/node_modules/gzip-js/node_modules/.bin/package.json
114 verbose read json /usr/local/lib/node_modules/grunt/node_modules/gzip-js/node_modules/crc32/package.json
115 verbose read json /usr/local/lib/node_modules/grunt/node_modules/gzip-js/node_modules/deflate-js/package.json
116 verbose read json /usr/local/lib/node_modules/jison/node_modules/nomnom/node_modules/underscore/package.json
117 verbose url raw yeoman
118 verbose url resolving [ 'https://registry.npmjs.org/', './yeoman' ]
119 verbose url resolved https://registry.npmjs.org/yeoman
120 info retry registry request attempt 1 at 05:36:02
121 verbose etag "2V3KNVESJEHKZNYAR1EG6GCC3"
122 http GET https://registry.npmjs.org/yeoman
123 verbose from cache /usr/local/lib/node_modules/npm/node_modules/semver/package.json
124 verbose from cache /usr/local/lib/node_modules/npm/node_modules/ini/package.json
125 verbose from cache /usr/local/lib/node_modules/npm/node_modules/slide/package.json
126 verbose from cache /usr/local/lib/node_modules/npm/node_modules/abbrev/package.json
127 verbose from cache /usr/local/lib/node_modules/npm/node_modules/graceful-fs/package.json
128 verbose from cache /usr/local/lib/node_modules/npm/node_modules/minimatch/package.json
129 verbose from cache /usr/local/lib/node_modules/npm/node_modules/nopt/package.json
130 verbose from cache /usr/local/lib/node_modules/npm/node_modules/node-uuid/package.json
131 verbose from cache /usr/local/lib/node_modules/npm/node_modules/proto-list/package.json
132 verbose from cache /usr/local/lib/node_modules/npm/node_modules/rimraf/package.json
133 verbose from cache /usr/local/lib/node_modules/npm/node_modules/request/package.json
134 verbose from cache /usr/local/lib/node_modules/npm/node_modules/which/package.json
135 verbose from cache /usr/local/lib/node_modules/npm/node_modules/tar/package.json
136 verbose from cache /usr/local/lib/node_modules/npm/node_modules/fstream/package.json
137 verbose from cache /usr/local/lib/node_modules/npm/node_modules/block-stream/package.json
138 verbose from cache /usr/local/lib/node_modules/npm/node_modules/inherits/package.json
139 verbose from cache /usr/local/lib/node_modules/npm/node_modules/mkdirp/package.json
140 verbose from cache /usr/local/lib/node_modules/npm/node_modules/read/package.json
141 verbose from cache /usr/local/lib/node_modules/npm/node_modules/lru-cache/package.json
142 verbose from cache /usr/local/lib/node_modules/npm/node_modules/node-gyp/package.json
143 verbose from cache /usr/local/lib/node_modules/npm/node_modules/fstream-npm/package.json
144 verbose from cache /usr/local/lib/node_modules/npm/node_modules/uid-number/package.json
145 verbose from cache /usr/local/lib/node_modules/npm/node_modules/archy/package.json
146 verbose from cache /usr/local/lib/node_modules/npm/node_modules/chownr/package.json
147 verbose from cache /usr/local/lib/node_modules/npm/node_modules/npmlog/package.json
148 verbose from cache /usr/local/lib/node_modules/npm/node_modules/ansi/package.json
149 verbose from cache /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/package.json
150 verbose from cache /usr/local/lib/node_modules/npm/node_modules/read-package-json/package.json
151 verbose from cache /usr/local/lib/node_modules/npm/node_modules/read-installed/package.json
152 verbose from cache /usr/local/lib/node_modules/npm/node_modules/glob/package.json
153 verbose from cache /usr/local/lib/node_modules/npm/node_modules/init-package-json/package.json
154 verbose from cache /usr/local/lib/node_modules/npm/node_modules/osenv/package.json
155 verbose from cache /usr/local/lib/node_modules/npm/node_modules/lockfile/package.json
156 verbose from cache /usr/local/lib/node_modules/npm/node_modules/retry/package.json
157 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/package.json
158 verbose read json /usr/local/lib/node_modules/npm/node_modules/init-package-json/node_modules/promzard/package.json
159 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/node_modules/minimatch/package.json
160 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nopt/node_modules/abbrev/package.json
161 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/package.json
162 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/async/package.json
163 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/colors/package.json
164 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/pkginfo/package.json
165 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/package.json
166 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/qs/package.json
167 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/formidable/package.json
168 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/crc/package.json
169 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/cookie/package.json
170 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/bytes/package.json
171 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/package.json
172 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/fresh/package.json
173 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/pause/package.json
174 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/debug/package.json
175 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/jshint/node_modules/argsparser/package.json
176 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/jshint/node_modules/minimatch/package.json
177 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/temporary/node_modules/package/package.json
178 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/gzip-js/node_modules/crc32/package.json
179 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/gzip-js/node_modules/deflate-js/package.json
180 verbose read json /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/node_modules/minimatch/node_modules/lru-cache/package.json
181 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/.bin/package.json
182 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/buffer-equal/package.json
183 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/deep-equal/package.json
184 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/difflet/package.json
185 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/inherits/package.json
186 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/mkdirp/package.json
187 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/nopt/package.json
188 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/package.json
189 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/slide/package.json
190 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/yamlish/package.json
191 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/eyes/package.json
192 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/loggly/package.json
193 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/stack-trace/package.json
194 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/node_modules/mime/package.json
195 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/node_modules/range-parser/package.json
196 verbose read json /usr/local/lib/node_modules/grunt/node_modules/jshint/node_modules/minimatch/node_modules/lru-cache/package.json
197 verbose from cache /usr/local/lib/node_modules/jison/node_modules/nomnom/node_modules/underscore/package.json
198 verbose read json /usr/local/lib/node_modules/npm/node_modules/minimatch/node_modules/lru-cache/package.json
199 verbose read json /usr/local/lib/node_modules/npm/node_modules/nopt/node_modules/abbrev/package.json
200 verbose read json /usr/local/lib/node_modules/npm/node_modules/rimraf/node_modules/graceful-fs/package.json
201 verbose read json /usr/local/lib/node_modules/npm/node_modules/tar/node_modules/inherits/package.json
202 verbose read json /usr/local/lib/node_modules/npm/node_modules/tar/node_modules/block-stream/package.json
203 verbose read json /usr/local/lib/node_modules/npm/node_modules/tar/node_modules/fstream/package.json
204 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream/node_modules/rimraf/package.json
205 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream/node_modules/mkdirp/package.json
206 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream/node_modules/graceful-fs/package.json
207 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream/node_modules/inherits/package.json
208 verbose read json /usr/local/lib/node_modules/npm/node_modules/block-stream/node_modules/inherits/package.json
209 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/glob/package.json
210 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/graceful-fs/package.json
211 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/fstream/package.json
212 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/minimatch/package.json
213 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/mkdirp/package.json
214 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/nopt/package.json
215 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/npmlog/package.json
216 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/request/package.json
217 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/rimraf/package.json
218 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/semver/package.json
219 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/tar/package.json
220 verbose read json /usr/local/lib/node_modules/npm/node_modules/node-gyp/node_modules/which/package.json
221 verbose read json /usr/local/lib/node_modules/npm/node_modules/npmlog/node_modules/ansi/package.json
222 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/node-uuid/package.json
223 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/request/package.json
224 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/graceful-fs/package.json
225 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/semver/package.json
226 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/slide/package.json
227 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/chownr/package.json
228 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/mkdirp/package.json
229 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/rimraf/package.json
230 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/retry/package.json
231 verbose read json /usr/local/lib/node_modules/npm/node_modules/npm-registry-client/node_modules/npmlog/package.json
232 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-package-json/node_modules/glob/package.json
233 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-package-json/node_modules/lru-cache/package.json
234 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-package-json/node_modules/semver/package.json
235 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-package-json/node_modules/slide/package.json
236 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-package-json/node_modules/npmlog/package.json
237 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-package-json/node_modules/graceful-fs/package.json
238 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-installed/node_modules/semver/package.json
239 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-installed/node_modules/slide/package.json
240 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-installed/node_modules/read-package-json/package.json
241 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-installed/node_modules/graceful-fs/package.json
242 verbose read json /usr/local/lib/node_modules/npm/node_modules/read-installed/node_modules/npmlog/package.json
243 verbose read json /usr/local/lib/node_modules/npm/node_modules/glob/node_modules/minimatch/package.json
244 verbose read json /usr/local/lib/node_modules/npm/node_modules/glob/node_modules/graceful-fs/package.json
245 verbose read json /usr/local/lib/node_modules/npm/node_modules/glob/node_modules/inherits/package.json
246 verbose from cache /usr/local/lib/node_modules/npm/node_modules/init-package-json/node_modules/promzard/package.json
247 verbose read json /usr/local/lib/node_modules/npm/node_modules/init-package-json/node_modules/read/package.json
248 verbose read json /usr/local/lib/node_modules/npm/node_modules/init-package-json/node_modules/read-package-json/package.json
249 verbose read json /usr/local/lib/node_modules/npm/node_modules/init-package-json/node_modules/semver/package.json
250 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/glob-whatev/node_modules/minimatch/node_modules/lru-cache/package.json
251 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/inherits/package.json
252 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/yamlish/package.json
253 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/slide/package.json
254 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/package.json
255 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/nopt/package.json
256 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/mkdirp/package.json
257 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/difflet/package.json
258 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/deep-equal/package.json
259 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/buffer-equal/package.json
260 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/async/package.json
261 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/colors/package.json
262 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/eyes/package.json
263 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/loggly/package.json
264 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/pkginfo/package.json
265 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/stack-trace/package.json
266 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/node_modules/debug/package.json
267 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/node_modules/mime/package.json
268 verbose read json /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/node_modules/fresh/package.json
269 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/connect/node_modules/send/node_modules/range-parser/package.json
270 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/jshint/node_modules/minimatch/node_modules/lru-cache/package.json
271 verbose read json /usr/local/lib/node_modules/npm/node_modules/init-package-json/node_modules/promzard/node_modules/read/package.json
272 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/nopt/node_modules/abbrev/package.json
273 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/package.json
274 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/difflet/node_modules/charm/package.json
275 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/difflet/node_modules/traverse/package.json
276 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/loggly/node_modules/request/package.json
277 verbose read json /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/loggly/node_modules/timespan/package.json
278 verbose from cache /usr/local/lib/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/package.json
279 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream-npm/node_modules/inherits/package.json
280 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules/minimatch/package.json
281 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules/fstream/package.json
282 verbose read json /usr/local/lib/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules/inherits/package.json
283 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/difflet/node_modules/traverse/package.json
284 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/difflet/node_modules/charm/package.json
285 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/difflet/node_modules/deep-equal/package.json
286 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/nopt/node_modules/abbrev/package.json
287 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/package.json
288 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/loggly/node_modules/request/package.json
289 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/prompt/node_modules/winston/node_modules/loggly/node_modules/timespan/package.json
290 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/node_modules/burrito/package.json
291 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/node_modules/burrito/package.json
292 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/node_modules/burrito/node_modules/.bin/package.json
293 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/node_modules/burrito/node_modules/traverse/package.json
294 verbose read json /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/node_modules/burrito/node_modules/uglify-js/package.json
295 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/node_modules/burrito/node_modules/traverse/package.json
296 verbose from cache /usr/local/lib/node_modules/grunt/node_modules/nodeunit/node_modules/tap/node_modules/runforcover/node_modules/bunker/node_modules/burrito/node_modules/uglify-js/package.json
297 http 200 https://registry.npmjs.org/yeoman
298 silly registry.get cb [ 200,
298 silly registry.get   { vary: 'Accept',
298 silly registry.get     server: 'CouchDB/1.2.1 (Erlang OTP/R15B)',
298 silly registry.get     etag: '"VP4PXCVAE21GOR5EOFQZX7B6"',
298 silly registry.get     date: 'Mon, 14 Jan 2013 10:34:41 GMT',
298 silly registry.get     'content-type': 'application/json',
298 silly registry.get     'content-length': '34617' } ]
299 silly addNameRange number 2 { name: 'yeoman', range: '', hasData: true }
300 silly addNameRange versions [ 'yeoman',
300 silly addNameRange   [ '0.0.1',
300 silly addNameRange     '0.7.0',
300 silly addNameRange     '0.7.1',
300 silly addNameRange     '0.7.2',
300 silly addNameRange     '0.7.3',
300 silly addNameRange     '0.9.0',
300 silly addNameRange     '0.9.1',
300 silly addNameRange     '0.9.2',
